R	53.3027	-6.17833	E211	07 Feb 2025	E211\n08:20 - Howth to Bray (0 mins late)\nArrived Blackrock next stop Seapoint	Southbound
R	53.3334	-6.40628	A209	07 Feb 2025	A209\n09:25 - Cork to Dublin Heuston (23 mins late)\nDeparted Clondalkin next stop Dublin Heuston	To Dublin Heuston
R	53.3334	-6.40628	A211	07 Feb 2025	A211\n10:25 - Cork to Dublin Heuston (0 mins late)\nDeparted Clondalkin next stop Dublin Heuston	To Dublin Heuston
R	53.3334	-6.40628	A213	07 Feb 2025	A213\n11:25 - Cork to Dublin Heuston (0 mins late)\nDeparted Clondalkin next stop Dublin Heuston	To Dublin Heuston
R	53.3334	-6.40628	A215	07 Feb 2025	A215\n12:25 - Cork to Dublin Heuston (8 mins late)\nDeparted Clondalkin next stop Dublin Heuston	To Dublin Heuston
R	53.3334	-6.40628	A217	07 Feb 2025	A217\n13:25 - Cork to Dublin Heuston (1 mins late)\nDeparted Clondalkin next stop Dublin Heuston	To Dublin Heuston
R	53.3334	-6.40628	A219	07 Feb 2025	A219\n14:25 - Cork to Dublin Heuston (6 mins late)\nDeparted Clondalkin next stop Dublin Heuston	To Dublin Heuston
R	53.3334	-6.40628	A221	07 Feb 2025	A221\n15:25 - Cork to Dublin Heuston (3 mins late)\nDeparted Clondalkin next stop Dublin Heuston	To Dublin Heuston
R	53.3334	-6.40628	A223	07 Feb 2025	A223\n16:25 - Cork to Dublin Heuston (-1 mins late)\nDeparted Clondalkin next stop Dublin Heuston	To Dublin Heuston
R	53.3334	-6.40628	A225	07 Feb 2025	A225\n17:25 - Cork to Dublin Heuston (19 mins late)\nDeparted Clondalkin next stop Dublin Heuston	To Dublin Heuston
R	53.3334	-6.40628	A227	07 Feb 2025	A227\n18:25 - Cork to Dublin Heuston (4 mins late)\nDeparted Clondalkin next stop Dublin Heuston	To Dublin Heuston
R	53.3334	-6.40628	A229	07 Feb 2025	A229\n19:25 - Cork to Dublin Heuston (8 mins late)\nDeparted Clondalkin next stop Dublin Heuston	To Dublin Heuston
R	53.3334	-6.40628	A231	07 Feb 2025	A231\n20:25 - Cork to Dublin Heuston (39 mins late)\nDeparted Clondalkin next stop Dublin Heuston	To Dublin Heuston
R	53.3334	-6.40628	P207	07 Feb 2025	P207\n08:12 - Portlaoise to Dublin Heuston (2 mins late)\nArrived Clondalkin next stop Park West and Cherry Orchard	To Dublin Heuston
R	53.334	-6.37868	A407	07 Feb 2025	A407\n08:55 - Limerick to Dublin Heuston (8 mins late)\nDeparted Park West and Cherry Orchard next stop Dublin Heuston	To Dublin Heuston
R	53.334	-6.37868	A513	07 Feb 2025	A513\n11:00 - Waterford to Dublin Heuston (10 mins late)\nDeparted Park West and Cherry Orchard next stop Dublin Heuston	To Dublin Heuston
R	53.3345	-6.43038	D404	07 Feb 2025	D404\n08:31 - Grand Canal Dock to Hazelhatch (0 mins late)\nArrived Kishoge next stop Adamstown	Southbound
R	53.3347	-6.22979	E106	07 Feb 2025	E106\n08:30 - Malahide to Greystones (3 mins late)\nArrived Lansdowne Road next stop Sandymount	Southbound
R	53.3347	-6.22979	E911	07 Feb 2025	E911\n08:24 - Greystones to Howth (0 mins late)\nDeparted Lansdowne Road next stop Grand Canal Dock	Northbound
R	53.3353	-6.45233	A206	07 Feb 2025	A206\n09:00 - Dublin Heuston to Cork (1 mins late)\nDeparted Adamstown next stop Portlaoise	To Cork
R	53.3433	-6.24829	P606	07 Feb 2025	P606\n07:55 - Drogheda to Dun Laoghaire (4 mins late)\nDeparted Dublin Pearse next stop Grand Canal Dock	To Dun Laoghaire
